Points_0,Points_1,Points_2
-1.87119,2.4679,0.033491
-1.76915,2.48725,0.0354742
-2.01929,1.51944,0.0248207
-2.01098,1.67104,0.0392617
-2.02172,1.8245,0.0427001
-2.03936,2.0474,0.0461385
-2.02635,2.25476,0.0495768
-1.95548,2.3835,0.0530148
-1.86069,2.45115,0.0564528
-1.76442,2.468,0.0598908
-1.99502,1.51867,0.0300355
-1.99254,1.67311,0.0450098
-2.00168,1.82677,0.0489816
-2.0176,2.04964,0.0529533
-2.00279,2.25372,0.056925
-1.9326,2.37272,0.060892
-1.84636,2.42827,0.0648634
-1.97075,1.5179,0.0248339
-1.97411,1.67518,0.0392748
-1.98164,1.82903,0.0427132
-1.99583,2.05188,0.046156
-1.97922,2.25267,0.0495942
-1.90971,2.36194,0.0530322
-1.83201,2.40539,0.0564704
-1.95297,1.51733,0.0106
-1.96061,1.67669,0.0235907
-1.96696,1.83069,0.0255788
-1.97989,2.05352,0.0275625
-1.96196,2.2519,0.0295504
-1.89295,2.35404,0.0315383
-1.82151,2.38863,0.0335261
-1.94645,1.51712,-0.00884862
-1.95566,1.67725,0.00215847
-1.95294,1.51733,-0.0283016
-1.9606,1.6767,-0.0192826
-1.97071,1.51789,-0.0425529
-1.97408,1.67518,-0.0349842
-1.99498,1.51867,-0.0477808
-1.99251,1.67311,-0.0407456
-2.01925,1.51944,-0.0425881
-2.01095,1.67104,-0.0350237
-2.03703,1.52001,-0.028363
-2.02445,1.66952,-0.0193484
-2.04357,1.52022,-0.00887026
1.75696,2.43257,0.272388
1.83409,2.50764,0.254636
1.79309,2.49427,0.283369
1.85871,2.4892,0.232755
1.80135,2.42054,0.274579
1.83798,2.41463,0.255747
1.8587,2.41623,0.231675
1.8218,2.39496,0.261262
1.84628,2.38928,0.246115
1.85487,2.3995,0.225071
1.86739,2.43002,0.206306
1.8469,2.50848,0.222479
1.82641,2.52221,0.236942
1.8712,2.47524,0.214139
1.81015,2.52656,0.240134
1.78565,2.52418,0.25606
1.77344,2.53697,0.262677
1.75282,2.50235,0.281649
1.80616,2.55507,0.24143
1.83056,2.55388,0.229832
1.86342,2.53148,0.208519
1.8877,2.48608,0.201351
1.89585,2.44123,0.197745
1.8757,2.40879,0.196427
1.85878,2.37944,0.227103
1.83417,2.36923,0.247773
1.80556,2.3708,0.263223
1.79737,2.40381,0.267975
1.78132,2.39576,0.268381
1.90018,2.43572,0.182114
1.90439,2.46778,0.179112
1.888,2.3915,0.186108
1.8711,2.37022,0.216158
1.8262,2.34446,0.242007
1.8018,2.34563,0.253451
1.75318,2.36294,0.262769
1.89198,2.49708,0.188268
1.87586,2.52992,0.192694
1.835,2.56472,0.216766
1.81027,2.57062,0.235876
1.74288,2.5008,0.272912
1.77763,2.54819,0.253552
1.74878,2.43295,0.276148
1.72905,2.38263,0.256316
1.74952,2.56392,0.247235
1.79064,2.58876,0.213412
1.81556,2.58208,0.186249
1.86058,2.55045,0.15399
1.88917,2.50838,0.13847
1.90514,2.46468,0.147052
1.9089,2.42495,0.155128
1.7288,2.42429,0.26839
1.78869,2.60068,0.127216
1.74749,2.61675,0.165213
1.84974,2.54953,0.101203
1.89416,2.5041,0.0943487
1.9184,2.45964,0.0952214
1.92966,2.41022,0.128648
1.92105,2.35948,0.149463
1.90794,2.3193,0.193553
1.85478,2.26582,0.225878
1.77349,2.25263,0.253653
1.8303,2.25871,0.23413
1.73701,2.26543,0.259701
1.69282,2.32602,0.256806
1.72487,2.50531,0.268598
1.66464,2.41511,0.255669
1.65654,2.48002,0.25734
1.70216,2.60097,0.210182
1.66897,2.54352,0.243353
1.9314,2.4597,0.0550105
1.95881,2.39827,0.0899756
1.95794,2.3247,0.125457
1.96514,2.2391,0.162128
1.7209,2.23732,0.262047
1.66841,2.31032,0.261902
1.68447,2.27019,0.266156
1.66872,2.39016,0.250044
1.63215,2.34727,0.265464
1.61224,2.43147,0.256859
1.61242,2.49576,0.250644
1.70145,2.64758,0.0638849
1.67614,2.65658,0.115055
1.62976,2.62819,0.197733
1.59323,2.56881,0.210764
1.96073,2.20781,0.173183
1.93214,2.14843,0.186395
1.84267,2.14841,0.224829
1.75726,2.20408,0.253984
2.00391,2.39475,0.0548428
2.04829,2.34617,0.0565794
2.02683,2.2826,0.110869
2.03127,2.31721,0.0913595
2.00973,2.22158,0.148748
1.99326,2.18619,0.159919
1.97725,2.12524,0.15731
1.97277,2.09829,0.171931
1.8587,2.11595,0.224353
1.74494,2.14428,0.263466
1.70434,2.16987,0.276317
1.65175,2.21962,0.286393
1.61153,2.28022,0.283749
1.62417,2.3874,0.261399
1.59186,2.38387,0.265138
1.58777,2.42832,0.264728
2.12899,2.28478,0.052268
2.112,2.26388,0.0862722
2.09518,2.23809,0.112615
2.07038,2.19622,0.140487
2.05004,2.16059,0.147448
2.03778,2.12086,0.15499
2.03359,2.0967,0.157229
2.18433,2.23611,0.0946209
2.18934,2.24857,0.0571696
2.1652,2.2643,0.0509454
2.14764,2.218,0.115771
2.13079,2.18418,0.143053
2.1754,2.20304,0.129983
2.16286,2.16859,0.14929
2.15866,2.11668,0.158199
2.11064,2.14778,0.14196
2.16211,2.26887,0.0025369
2.16439,2.24339,0.0853198
2.11837,2.12082,0.156864
2.07378,2.09312,0.162656
2.25328,2.21407,0.0780947
2.26571,2.21252,0.0624281
2.23356,2.2326,0.0597393
2.29406,2.18756,0.0573675
2.27733,2.18989,0.0809951
2.22083,2.22725,0.0881893
2.30232,2.14627,0.0494285
2.27433,2.06821,0.0360765
2.26958,2.0552,0.0695957
2.28627,2.09298,0.0419303
2.24046,2.04274,0.106488
2.25241,2.07148,0.112117
2.21534,2.0787,0.142934
2.28142,2.08052,0.0795448
2.28529,2.11337,0.084592
2.16258,2.06828,0.158984
2.19911,2.07144,0.151393
2.16657,2.08502,0.165592
2.12608,2.08582,0.172706
2.06987,2.04828,0.158768
2.15875,2.04745,0.152777
2.11812,2.06498,0.166407
2.09827,2.03532,0.152548
2.11834,2.04376,0.156343
2.05393,2.03101,0.147946
2.04985,2.05991,0.153192
2.07423,2.01822,0.141523
2.02962,2.06425,0.156291
2.02706,1.99353,0.0941762
2.02576,2.03536,0.15086
2.08785,1.9839,0.0804095
2.10319,2.00705,0.1109
2.12832,1.97915,0.0736781
2.14375,2.00192,0.100219
2.17296,1.97757,0.0585979
2.19235,2.00901,0.092527
1.96879,2.0619,0.171376
1.99416,2.00394,0.116808
1.9609,2.03261,0.161744
2.21386,1.99117,0.0339916
2.23087,2.02013,0.00253664
2.23766,2.01276,0.0485603
2.11305,1.97117,0.0335865
2.06035,1.97685,0.0479219
1.97157,1.9773,0.0499675
2.01967,1.97843,0.0630903
1.97891,1.98039,0.0822084
1.94944,2.00985,0.13545
1.92278,1.9667,0.0659648
1.84627,1.95474,0.0653479
1.93012,1.96981,0.0983688
1.8609,1.96055,0.125884
1.73543,1.9429,0.14908
1.86439,2.00378,0.154317
1.74281,1.9906,0.180999
1.86724,2.07349,0.204256
1.87172,2.02259,0.180898
1.74917,2.07016,0.25048
1.74989,2.02243,0.218591
1.67188,2.11009,0.285331
1.64027,2.05488,0.257564
1.5977,1.97814,0.174855
1.60513,2.00935,0.204381
1.56855,2.02253,0.214378
1.71675,1.92864,0.0851231
1.57981,1.912,0.0755801
1.56251,1.92548,0.130487
1.51692,1.97896,0.181031
1.61947,2.15908,0.287513
